"manicipality","id","oldRatio","emergencyMedicalObs","under_12m","resRatio_2016","comRatio_2016","indRatio_2016"
"경상북도_영주시",81,22.224873795319,3,0.669718795,16.55,2.61,6.29
"경상북도_영천시",82,24.7083611696387,1,0.544420272,15.83,1.6,13.78
"경상북도_예천군",83,33.092825477246,1,0.483206329,30.3,4.93,2.22
"경상북도_울릉군",84,21.2249705535925,1,0.992838908,7.8,1.38,1.54
"경상북도_울진군",85,24.806802193993,1,0.666420607,12.74,1.78,9.32
"경상북도_의성군",86,37.9357970128051,1,0.74417795,12.21,1.61,2.97
"경상북도_청도군",87,32.5651254445833,1,0.523694071,10.7,1.48,0.96
"경상북도_청송군",88,33.6965803277355,1,0.884930196,25.36,4.76,0.64
"경상북도_칠곡군",89,12.3469778897833,0,0.565330676,8.11,0.5,4.57
"경상북도_포항시",90,13.2870914648483,4,0.478375002,10.69,1.38,10.36
"광주광역시_광산구",91,7.83557046979866,7,0.678700589,13.03,1.15,8.51
"광주광역시_남구",92,14.6425772313157,3,0.821335538,21.74,0.71,1.78
"광주광역시_동구",93,19.3261133543285,2,0.775942671,14.85,3.66,0
"광주광역시_북구",94,12.1113084926791,5,0.823655797,20.39,2.17,4.31
"광주광역시_서구",95,11.4911894843067,4,0.769865978,28.88,4.2,4.43
"대구광역시_남구",96,19.219934160287,3,0.829991528,46.48,6,0
"대구광역시_달서구",97,10.4938674922642,3,0.792497136,33.49,3.92,18.24
"대구광역시_달성군",98,11.0068343549637,0,0.770927321,5.77,0.36,5.23
"대구광역시_동구",99,15.9885005986832,1,0.734052721,14.24,2.53,0.55
"대구광역시_북구",100,11.3601354134948,2,0.797343407,21.54,3.61,5.2
"대구광역시_서구",101,16.7101059783987,1,0.91773675,43.97,7.47,23.53
"대구광역시_수성구",102,12.781883646011,1,0.776144387,23.89,2.53,0
"대구광역시_중구",103,18.9450242121346,3,0.76507363,47.87,44.24,0
"대전광역시_대덕구",104,11.7006613797431,2,0.720079764,15.92,0.67,13.43
"대전광역시_동구",105,14.6109387058109,1,0.758741527,10.67,1.26,0.4
"대전광역시_서구",106,9.96601754064668,3,0.793106335,27.88,3.06,0
"대전광역시_유성구",107,7.07547826668189,1,0.877700914,8.45,1.55,2.57
"대전광역시_중구",108,15.5716391796002,3,0.733010226,22.13,3.26,0
"부산광역시_강서구",109,10.4395604395604,0,0.486771002,7.99,1.53,11.65
"부산광역시_금정구",110,15.7520423649456,2,0.611907183,15.14,1.09,1.61
"부산광역시_기장군",111,13.2428240455315,1,0.555186476,7.78,0.5,3.89
"부산광역시_남구",112,15.9587851409211,2,0.481939615,23.2,2.45,11.06
"부산광역시_동구",113,22.6876471601677,3,0.442643451,21.75,21.54,14.85
"부산광역시_동래구",114,15.122837277813,3,0.418729615,56.66,6.94,0.92
"부산광역시_부산진구",115,15.8519918973666,4,0.692373078,37.35,16.31,0
"부산광역시_북구",116,12.568010677388,2,0.594244048,24.33,1.54,0
"부산광역시_사상구",117,12.9338948443083,3,0.735125483,22.61,1.28,18.3
"부산광역시_사하구",118,13.8944380666564,0,0.599237632,15.45,0.95,14.2
"부산광역시_서구",119,20.9996724771644,4,0.473608188,14.92,3.76,2.97
"부산광역시_수영구",120,17.6571087700603,2,0.684242132,46.73,5.32,0.83
"부산광역시_연제구",121,15.5337730700215,1,0.417547893,63.53,6.27,0.53
"부산광역시_영도구",122,20.6786272682765,2,0.651742249,8.56,1.42,3.22
"부산광역시_중구",123,20.735049647302,1,0.592955276,20.05,42.16,4.28
"부산광역시_해운대구",124,13.6280088814387,2,0.395165491,22.03,5.79,1.12
"서울특별시_강남구",125,11.0325671541442,3,0.560656692,55.67,5.87,0
"서울특별시_강동구",126,11.9695120815247,3,0.286911923,52.83,2.74,0
"서울특별시_강북구",127,16.4022870732294,1,0.551952323,46.48,1.14,0
"서울특별시_강서구",128,11.9144260622302,1,0.396651421,33.57,3.23,6.96
"서울특별시_관악구",129,12.6192674072235,2,0.760331363,39.08,1.18,0
"서울특별시_광진구",130,11.0995414570621,2,0.736415383,66.71,1.15,0
"서울특별시_구로구",131,12.7266970474823,2,0.323781857,35.99,2.35,32.41
"서울특별시_금천구",132,12.9267731691275,1,0.115232609,45.6,1.32,31.99
"서울특별시_노원구",133,12.3052824889273,3,0.488242113,35.8,1.6,0
"서울특별시_도봉구",134,14.5513667611991,1,0.831479431,49.72,1.57,7.28
"서울특별시_동대문구",135,14.1772820092517,5,0.348851605,91.57,5.8,0
"서울특별시_동작구",136,13.1789564339382,2,0.429340931,84.15,2.1,0
"서울특별시_마포구",137,12.20124646134,0,0.743097545,56.09,3.9,0
"서울특별시_서대문구",138,14.0839573094193,2,0.446499133,88.06,1.17,0
"서울특별시_서초구",139,11.4002983211098,1,0.313480292,40.25,2.81,0
"서울특별시_성동구",140,12.679477784111,1,0.288105488,59.19,2.82,12.18
"서울특별시_성북구",141,13.5019920318725,1,0.311364838,69.59,3.67,0
"서울특별시_송파구",142,10.8457017694664,2,0.358492936,62.08,6.74,0
"서울특별시_양천구",143,10.9112754118805,3,0.636782192,73.13,3.58,0.42
"서울특별시_영등포구",144,12.8981211694966,6,0.320176633,32.75,10.86,20.63
"서울특별시_용산구",145,14.1648851297596,1,0.547974926,51.86,7.1,0
"서울특별시_은평구",146,14.4140080721325,2,0.375248317,51.55,1.76,0
"서울특별시_종로구",147,14.6679361131621,4,0.303767108,41.01,12.25,0
"서울특별시_중구",148,14.5193508114856,1,0.447987033,63.47,36.27,0
"서울특별시_중랑구",149,13.5506377138965,3,0.536069554,56.62,1.39,0
"세종특별자치시_세종시",150,9.480963436107,1,0.401994812,19.98,3.89,5.07
"울산광역시_남구",151,8.67632970230281,4,0.764862435,19.4,3.53,39.71
"울산광역시_동구",152,7.91622775720095,1,0.758727756,16.9,2.19,19.34
"울산광역시_북구",153,6.59042782891006,1,0.722786234,10.78,0.89,9.15
"울산광역시_울주군",154,11.4580425562569,2,0.694948523,4.36,0.32,6.65
"울산광역시_중구",155,10.8198215687433,1,0.857944436,33.27,4.23,0
"인천광역시_강화군",156,29.3460416633461,1,0.592758526,11.15,1.16,3.11
"인천광역시_계양구",157,9.17554672706345,1,0.666244427,20.22,1.41,3.4
"인천광역시_남구",158,13.6006474326031,2,0.614033788,58.68,12.88,10.66
"인천광역시_남동구",159,10.1985295090738,1,0.680842419,23,2.89,14.64
"인천광역시_동구",160,17.673400624919,2,0.539637953,31.57,5.99,50.47
"인천광역시_부평구",161,11.120317313928,3,0.852795891,44.94,6,16.2
"인천광역시_서구",162,8.4098095012252,5,0.465401516,23.27,3.87,17.34
"인천광역시_연수구",163,8.06672608113106,2,0.647277646,17.57,3.81,3.64
"인천광역시_옹진군",164,21.7825971965089,1,1,0.12,0,43.52
