시도,시군구,행정구역,계_연장,계_면적,광로_연장,광로_면적,대로_연장,대로_면적,중로_연장,중로_면적,소로_연장,소로_명적
인천광역시,남동구,인천광역시_남동구,371644,3999079,0,0,0,0,118613,1940703,253031,2058376
인천광역시,부평구,인천광역시_부평구,509748,8991789,0,0,0,0,75037,1334724,434711,7657065
인천광역시,계양구,인천광역시_계양구,223412,2494090,0,0,0,0,74565,1240188,148847,1253902
인천광역시,서구,인천광역시_서구,497016,7182115,0,0,6569,200646,259135,5138376,231312,1843093
인천광역시,강화군,인천광역시_강화군,76559,930703,0,0,0,0,31178,486580,45381,444123
인천광역시,옹진군,인천광역시_옹진군,3964,30060,0,0,0,0,0,0,3964,30060
광주광역시,소계,광주광역시_소계,2156900,34471020,73773,3904875,369306,12445611,577841,9354822,1135980,8765712
광주광역시,광주광역시,광주광역시_광주광역시,674235,21078958,73773,3904875,369306,12445611,231156,4728472,0,0
광주광역시,동구,광주광역시_동구,123638,1088216,0,0,0,0,27702,373975,95936,714241
광주광역시,서구,광주광역시_서구,225486,2139584,0,0,0,0,51892,759581,173594,1380003
광주광역시,남구,광주광역시_남구,233404,2001894,0,0,0,0,41701,578034,191703,1423860
광주광역시,북구,광주광역시_북구,440298,4003011,0,0,0,0,77644,1065977,362654,2937034
광주광역시,광산구,광주광역시_광산구,459839,4159357,0,0,0,0,147746,1848783,312093,2310574
대전광역시,소계,대전광역시_소계,2389152,36533427,133572,6692264,392217,11332432,561646,9262562,1301717,9246169
대전광역시,대전광역시,대전광역시_대전광역시,749202,22611662,133572,6692264,392217,11332432,223413,4586966,0,0
대전광역시,동구,대전광역시_동구,286220,2416840,0,0,0,0,69053,873675,217167,1543165
대전광역시,중구,대전광역시_중구,244088,2193325,0,0,0,0,65169,939341,178919,1253984
대전광역시,서구,대전광역시_서구,322470,2864761,0,0,0,0,66717,943524,255753,1921237
대전광역시,유성구,대전광역시_유성구,526905,3902262,0,0,0,0,64440,913093,462465,2989169
대전광역시,대덕구,대전광역시_대덕구,260267,2544577,0,0,0,0,72854,1005963,187413,1538614
울산광역시,소계,울산광역시_소계,2667347,48152894,198296,8720470,655120,19194067,668365,11100581,1145566,9137776
울산광역시,울산광역시,울산광역시_울산광역시,1129296,33436643,198296,8720470,655120,19194067,275880,5522106,0,0
울산광역시,중구,울산광역시_중구,234359,1965767,0,0,0,0,33292,462243,201067,1503524
울산광역시,남구,울산광역시_남구,311490,2908047,0,0,0,0,73243,1061323,238247,1846724
울산광역시,동구,울산광역시_동구,142677,1338402,0,0,0,0,34424,520619,108253,817783
울산광역시,북구,울산광역시_북구,273832,2474834,0,0,0,0,75910,886043,197922,1588791
울산광역시,울주군,울산광역시_울주군,575693,6029201,0,0,0,0,175616,2648247,400077,3380954
세종특별자치시,소계,세종특별자치시_소계,798070,29088747,24367,975758,156360,5667368,296523,20007239,320820,2438382
세종특별자치시,세종시,세종특별자치시_세종시,798070,29088747,24367,975758,156360,5667368,296523,20007239,320820,2438382
경기도,소계,경기도_소계,18134455,332189881,748012,36992840,3650213,114081639,5906493,109517535,7829737,71597867
경기도,수원시,경기도_수원시,951431,15527750,54412,2434747,179363,5357594,233824,3994606,483832,3740803
경기도,성남시,경기도_성남시,715324,13531088,63811,3162462,155617,4764961,193820,3295806,302076,2307859
경기도,의정부시,경기도_의정부시,431606,7198868,9453,393368,90640,3269459,106925,1858495,224588,1677546
경기도,안양시,경기도_안양시,366070,6211814,39906,2025256,34369,996983,94896,1624079,196899,1565496
경기도,부천시,경기도_부천시,605126,8797074,28506,1405440,81178,2412178,121953,2119386,373489,2860070
경기도,광명시,경기도_광명시,288360,5124801,7531,308440,85295,2841407,47567,912395,147967,1062559
경기도,평택시,경기도_평택시,991887,18291077,79985,3775420,307533,7245620,301034,4719801,303335,2550236
경기도,동두천시,경기도_동두천시,171660,2417308,0,0,17514,493589,71333,1263159,82813,660560
경기도,안산시,경기도_안산시,915331,15704588,58551,2709052,137711,4054218,305968,5622577,413101,3318741
경기도,고양시,경기도_고양시,1094317,20723010,46266,1741640,292344,10056354,289041,4946679,466666,3978337
경기도,과천시,경기도_과천시,106030,1914295,9333,472472,19294,624390,20139,338920,57264,478513
경기도,구리시,경기도_구리시,189224,3616760,15241,977918,39747,1201539,44776,761230,89460,676073
경기도,남양주시,경기도_남양주시,861094,16506120,5450,342577,179061,6370053,376241,7638671,300342,2154819
경기도,오산시,경기도_오산시,261361,4817331,13119,588111,59649,1941703,88390,1485985,100203,801532
경기도,시흥시,경기도_시흥시,875347,16585800,89505,4062620,143895,4629514,255692,4707681,386255,3185985
경기도,군포시,경기도_군포시,201034,3870700,7296,394578,30972,1161969,72356,1533580,90410,780573
경기도,의왕시,경기도_의왕시,196611,3625838,9279,406860,45420,1568767,53530,883874,88382,766337
경기도,하남시,경기도_하남시,337273,6242398,25381,1480416,52107,1711072,97841,1677777,161944,1373133
경기도,용인시,경기도_용인시,1301775,22998909,51246,2464572,203557,6040797,484155,8873889,562817,5619651
경기도,파주시,경기도_파주시,706546,14202865,32697,2673915,180161,4992536,310682,5020472,183006,1515942
경기도,이천시,경기도_이천시,363508,7214844,7500,338500,103885,3535725,118672,2130081,133451,1210538
경기도,안성시,경기도_안성시,444054,7719099,6246,312300,91472,2652780,206147,3469507,140189,1284512
경기도,김포시,경기도_김포시,742689,13576772,23522,1016621,188695,5594305,311464,5135696,219008,1830150
경기도,화성시,경기도_화성시,1792642,38332197,39952,1927173,368272,12926452,653904,14973406,730514,8505166
경기도,광주시,경기도_광주시,620873,10214114,23113,1549525,118498,3268722,214880,3263366,264382,2132501
경기도,양주시,경기도_양주시,788143,16518254,0,0,258641,8417247,286883,5801728,242619,2299279
경기도,포천시,경기도_포천시,315974,7103612,711,28857,44189,1501458,131736,3498553,139338,2074744
경기도,여주시,경기도_여주시,242790,3771971,0,0,42075,1137983,58107,1007558,142608,1626430
경기도,연천군,경기도_연천군,177703,2948471,0,0,19716,609619,80705,1550851,77282,788001
경기도,가평군,경기도_가평군,464124,9561541,0,0,29811,1312550,135570,3081663,298743,5167328
경기도,양평군,경기도_양평군,614548,7320612,0,0,49532,1390095,138262,2326064,426754,3604453
강원도,소계,강원도_소계,8251386,112970380,110343,5065914,1052304,31175711,2297736,36834603,4791003,39894152
강원도,춘천시,강원도_춘천시,834048,13798787,474,23700,168920,6126343,254121,4392307,410533,3256437
강원도,원주시,강원도_원주시,1146075,17084843,21790,973538,197807,5785615,284329,5175778,642149,5149912
강원도,강릉시,강원도_강릉시,726700,12010774,3230,161500,198289,6270628,234894,3389271,290287,2189375
강원도,동해시,강원도_동해시,449677,7244804,18687,799073,101862,2866410,91097,1626830,238031,1952491
강원도,태백시,강원도_태백시,235902,2263020,0,0,45109,944629,71255,778089,119538,540302
강원도,속초시,강원도_속초시,219355,3394604,8937,382743,26090,832669,83628,1406635,100700,772557
강원도,삼척시,강원도_삼척시,662148,8414289,10619,424760,30824,896835,201798,3453512,418907,3639182
강원도,홍천군,강원도_홍천군,673443,7168545,0,0,42312,1139696,117677,1953445,513454,4075404
강원도,횡성군,강원도_횡성군,492957,5587624,0,0,57697,1484406,69010,1057685,366250,3045533
강원도,영월군,강원도_영월군,204633,3010313,605,24200,17375,505180,147675,2187180,38978,293753
강원도,평창군,강원도_평창군,370852,6130197,46001,2276400,19145,536787,190552,2456962,115154,860048
강원도,정선군,강원도_정선군,539599,5681617,0,0,2463,65970,108437,1889587,428699,3726060
강원도,철원군,강원도_철원군,304133,5400984,0,0,19557,519317,71484,1811740,213092,3069927
강원도,화천군,강원도_화천군,257493,2425001,0,0,41222,449826,89407,985333,126864,989842
강원도,양구군,강원도_양구군,245852,2283251,0,0,0,0,26648,402029,219204,1881222
강원도,인제군,강원도_인제군,448420,4651188,0,0,18608,543160,99565,1501025,330247,2607003
강원도,고성군,강원도_고성군,297364,3607244,0,0,6664,184520,136628,2102864,154072,1319860
강원도,양양군,강원도_양양군,142735,2813295,0,0,58360,2023720,19531,264331,64844,525244
충청북도,소계,충청북도_소계,5966508,92985729,88668,4176888,1129147,32983492,2057058,34840134,2691635,20985215
충청북도,청주시,충청북도_청주시,1646057,30058657,84156,4020550,446830,12687342,511149,8867587,603922,4483178
충청북도,충주시,충청북도_충주시,1113544,16133775,0,0,169278,5490864,349127,6263049,595139,4379862
충청북도,제천시,충청북도_제천시,339208,5387817,0,0,90149,2856627,84012,1304299,165047,1226891
